IP Range,Country,Region,City,Postal Code
52.97.250.192/26,NL,,AMSTERDAM,
52.97.251.0/24,NL,,AMSTERDAM,
52.97.254.128/27,NL,,AMSTERDAM,
52.97.254.192/27,NL,,AMSTERDAM,
52.97.255.128/25,NL,,AMSTERDAM,
52.98.144.0/24,NL,,AMSTERDAM,
52.98.145.0/27,NL,,AMSTERDAM,
52.98.148.16/28,NL,,AMSTERDAM,
52.98.148.48/28,NL,,AMSTERDAM,
52.98.148.144/28,NL,,AMSTERDAM,
52.98.148.192/28,NL,,AMSTERDAM,
52.98.148.224/27,NL,,AMSTERDAM,
52.98.150.64/27,NL,,AMSTERDAM,
52.98.150.128/25,NL,,AMSTERDAM,
52.98.151.192/27,NL,,AMSTERDAM,
52.98.154.192/27,NL,,AMSTERDAM,
52.98.155.0/24,NL,,AMSTERDAM,
52.98.156.0/26,NL,,AMSTERDAM,
52.98.156.128/25,NL,,AMSTERDAM,
52.98.163.72/29,NL,,AMSTERDAM,
52.98.166.96/28,NL,,AMSTERDAM,
52.98.166.128/25,NL,,AMSTERDAM,
52.98.167.0/24,NL,,AMSTERDAM,
52.98.168.128/27,NL,,AMSTERDAM,
52.98.169.80/28,NL,,AMSTERDAM,
52.98.169.96/27,NL,,AMSTERDAM,
52.98.170.64/27,NL,,AMSTERDAM,
52.98.171.0/25,NL,,AMSTERDAM,
52.98.171.192/27,NL,,AMSTERDAM,
52.98.172.0/25,NL,,AMSTERDAM,
52.98.175.32/27,NL,,AMSTERDAM,
52.98.175.64/26,NL,,AMSTERDAM,
52.98.175.128/25,NL,,AMSTERDAM,
52.98.192.0/27,NL,,AMSTERDAM,
52.98.194.192/27,NL,,AMSTERDAM,
52.98.195.128/25,NL,,AMSTERDAM,
52.98.199.192/28,NL,,AMSTERDAM,
52.98.206.64/27,NL,,AMSTERDAM,
52.98.206.112/28,NL,,AMSTERDAM,
52.98.206.128/27,NL,,AMSTERDAM,
52.98.206.160/28,NL,,AMSTERDAM,
52.98.207.192/26,NL,,AMSTERDAM,
52.98.208.0/25,NL,,AMSTERDAM,
52.98.209.64/27,NL,,AMSTERDAM,
52.98.210.0/25,NL,,AMSTERDAM,
52.99.0.16/28,NL,,AMSTERDAM,
52.99.2.0/28,NL,,AMSTERDAM,
52.100.8.0/24,NL,,AMSTERDAM,
52.100.11.0/24,NL,,AMSTERDAM,
52.100.13.0/24,NL,,AMSTERDAM,
52.100.174.0/24,NL,,AMSTERDAM,
52.100.197.0/24,NL,,AMSTERDAM,
52.100.202.0/24,NL,,AMSTERDAM,
52.100.206.0/24,NL,,AMSTERDAM,
52.101.69.0/24,NL,,AMSTERDAM,
52.101.70.0/23,NL,,AMSTERDAM,
52.101.72.0/23,NL,,AMSTERDAM,
52.102.0.32/27,NL,,AMSTERDAM,
52.102.0.96/27,NL,,AMSTERDAM,
52.102.1.192/27,NL,,AMSTERDAM,
52.102.161.0/24,NL,,AMSTERDAM,
52.103.33.0/24,NL,,AMSTERDAM,
52.103.161.0/24,NL,,AMSTERDAM,
52.105.0.0/24,NL,,AMSTERDAM,
52.105.3.0/24,NL,,AMSTERDAM,
52.105.6.0/23,NL,,AMSTERDAM,
52.105.13.0/24,NL,,AMSTERDAM,
52.105.17.0/24,NL,,AMSTERDAM,
52.105.21.0/24,NL,,AMSTERDAM,
52.105.23.0/24,NL,,AMSTERDAM,
52.105.26.0/24,NL,,AMSTERDAM,
52.105.37.0/24,NL,,AMSTERDAM,
52.105.43.0/24,NL,,AMSTERDAM,
52.105.44.0/23,NL,,AMSTERDAM,
52.105.47.0/24,NL,,AMSTERDAM,
52.105.48.0/24,NL,,AMSTERDAM,
52.105.130.0/23,NL,,AMSTERDAM,
52.105.132.0/24,NL,,AMSTERDAM,
52.105.136.0/24,NL,,AMSTERDAM,
52.105.138.0/24,NL,,AMSTERDAM,
